id,fighter
722,Askar Mozharov
723,Felice Herrig
724,Alex Da Silva
725,Niklas Stolze
726,Jeff Molina
727,Andreas Michailidis
728,Felipe Colares
729,Aleksandar Rakic
730,Louis Smolka
731,Frank Camacho
732,Alan Patrick
733,Ariane Carnelossi
734,Tristan Connelly
735,Gina Mazany
736,Sergey Khandozhko
737,Ike Villanueva
738,Cameron Else
739,Dean Barry
740,Miguel Baeza
741,TJ Laramie
742,Brandon Jenkins
743,Kevin Croom
744,Tecia Torres
745,Vinc Pichel
746,Aspen Ladd
747,Mickey Gall
748,Kay Hansen
749,Askar Askarov
750,Sara McMann
751,Aliaskhab Khizriev
752,Bruno Souza
753,Kazula Vargas
754,Mike Grundy
755,Timur Valiev
756,Marlon Moraes
757,Sabina Mazo
758,Kris Moutinho
759,Colby Covington
760,Alex Oliveira
761,Greg Hardy
762,Devonte Smith
763,Rong Zhu
764,Alejandro Perez
765,Ramiz Brahimaj
766,Micheal Gillmore
767,Chas Skelly
768,Mark Striegl
769,Jesse Strader
770,Roxanne Modafferi
771,Fabio Cherant
772,Alexis Davis
773,Danilo Marques
774,Francis Ngannou
775,Rogerio Bontorin
776,Dakota Bush
777,Sijara Eubanks
778,Andre Ewell
779,Matt Sayles
780,Ryan Hall
781,Maki Pitolo
782,Mallory Martin
783,Chris Gruetzemacher
784,Sean Soriano
785,Ben Rothwell
786,Felicia Spencer
787,Leah Letson
788,Collin Anglin
789,Liana Jojua
790,Al Iaquinta
791,Jordan Williams
792,Gian Villante
793,John Allan
794,Shamil Gamzatov
795,Hu Yaozong
796,Laureano Staropoli
797,Khama Worthy
798,Livinha Souza
799,Randa Markos
800,Zviad Lazishvili
801,Carlos Felipe
802,Andrew Sanchez
803,Danaa Batgerel
804,Bethe Correia
805,Gaetano Pirrello
806,Johnny Eduardo
807,Nick Diaz
808,Martin Sano
809,Antonio Arroyo
810,Mike Rodriguez
811,Sarah Alpar
812,Impa Kasanganay
813,Gustavo Lopez
814,Emily Whitmire
815,David Zawada
816,Luigi Vendramini
817,Darren Stewart
818,Domingo Pilarte
819,Bea Malecki
820,Roosevelt Roberts
821,Sasha Palatnikov
